ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: SeaTemp-2MinAvg-Message
2023-08-10T17:18:50.8723250Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-1.79769313486232E+308,-1.79769313486232E+308
2023-08-10T17:18:50.9022190Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,-1.79769313486232E+308
2023-08-10T17:18:54.1128477Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,-1.79769313486232E+308
2023-08-10T17:18:56.7321101Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1242
2023-08-10T17:18:57.7725188Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1224
2023-08-10T17:18:58.8025778Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1194
2023-08-10T17:18:59.8430659Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1142
2023-08-10T17:19:00.8732562Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1084
2023-08-10T17:19:01.9127471Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1086
2023-08-10T17:19:02.9433525Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1121
2023-08-10T17:19:03.9828475Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.116
2023-08-10T17:19:05.0133713Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1177
2023-08-10T17:19:06.0527799Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1258
2023-08-10T17:19:07.0832991Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1327
2023-08-10T17:19:08.1233001Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.138
2023-08-10T17:19:09.1538259Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1429
2023-08-10T17:19:10.1833687Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1488
2023-08-10T17:19:11.2240703Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1484
2023-08-10T17:19:12.2541487Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1332
2023-08-10T17:19:13.2936443Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1292
2023-08-10T17:19:14.3241742Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.13
2023-08-10T17:19:15.3537045Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1308
2023-08-10T17:19:16.3939589Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1292
2023-08-10T17:19:17.4243217Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1239
2023-08-10T17:19:18.4640404Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1226
2023-08-10T17:19:19.4945692Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1213
