ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:35:04.9159887Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,-1.79769313486232E+308
2023-08-27T19:35:04.9361268Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,-1.79769313486232E+308
2023-08-27T19:35:08.1461469Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,-1.79769313486232E+308
2023-08-27T19:35:10.7667284Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.34,13.5208
2023-08-27T19:35:11.8062217Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.3,13.498
2023-08-27T19:35:12.8367894Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.26,13.4767
2023-08-27T19:35:13.8768210Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.22,13.4564
2023-08-27T19:35:14.9071952Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.16,13.4225
2023-08-27T19:35:15.9370248Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.14,13.4097
2023-08-27T19:35:16.9765191Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.11,13.3958
2023-08-27T19:35:18.0070602Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.09,13.3817
2023-08-27T19:35:19.0475564Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.06,13.3665
2023-08-27T19:35:20.0774939Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,56.01,13.338
2023-08-27T19:35:21.1068776Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.99,13.3282
2023-08-27T19:35:22.1473785Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.98,13.3205
2023-08-27T19:35:23.1773348Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.96,13.3133
2023-08-27T19:35:24.2178237Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.95,13.3057
2023-08-27T19:35:25.2478896Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.93,13.2964
2023-08-27T19:35:26.2874517Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.86,13.2548
2023-08-27T19:35:27.3175227Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.86,13.2547
2023-08-27T19:35:28.3482721Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.87,13.2621
2023-08-27T19:35:29.3879059Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.87,13.261
2023-08-27T19:35:30.4275971Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.85,13.2494
2023-08-27T19:35:31.4580379Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,55.74,13.1888
