ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-09-10T00:00:00.9573343Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9979, c1= 0.05240, s=  0.2645, sv=1493.899, t2= 23.8572
2023-09-10T00:00:01.9878516Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9975, c1= 0.05239, s=  0.2645, sv=1493.900, t2= 23.8578
2023-09-10T00:00:03.0074270Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9984, c1= 0.05239, s=  0.2644, sv=1493.903, t2= 23.8588
2023-09-10T00:00:04.0382976Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9981, c1= 0.05239, s=  0.2645, sv=1493.903, t2= 23.8586
2023-09-10T00:00:05.0678233Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9983, c1= 0.05239, s=  0.2644, sv=1493.904, t2= 23.8592
2023-09-10T00:00:06.1141408Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9985, c1= 0.05240, s=  0.2645, sv=1493.906, t2= 23.8599
2023-09-10T00:00:07.1279069Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9984, c1= 0.05240, s=  0.2645, sv=1493.905, t2= 23.8594
2023-09-10T00:00:08.1584205Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9987, c1= 0.05240, s=  0.2645, sv=1493.906, t2= 23.8597
2023-09-10T00:00:09.1780036Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9986, c1= 0.05239, s=  0.2645, sv=1493.908, t2= 23.8607
2023-09-10T00:00:10.2085233Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9993, c1= 0.05238, s=  0.2644, sv=1493.909, t2= 23.8608
2023-09-10T00:00:11.2380616Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9993, c1= 0.05239, s=  0.2644, sv=1493.909, t2= 23.8609
2023-09-10T00:00:12.2584880Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9991, c1= 0.05240, s=  0.2645, sv=1493.910, t2= 23.8611
2023-09-10T00:00:13.2883299Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0000, c1= 0.05240, s=  0.2645, sv=1493.911, t2= 23.8617
2023-09-10T00:00:14.3188540Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 22.9994, c1= 0.05240, s=  0.2645, sv=1493.912, t2= 23.8619
2023-09-10T00:00:15.3484065Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0001, c1= 0.05240, s=  0.2645, sv=1493.913, t2= 23.8624
2023-09-10T00:00:16.3689660Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0001, c1= 0.05239, s=  0.2644, sv=1493.913, t2= 23.8625
2023-09-10T00:00:17.3986559Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0001, c1= 0.05239, s=  0.2644, sv=1493.914, t2= 23.8629
2023-09-10T00:00:18.4292569Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0008, c1= 0.05239, s=  0.2644, sv=1493.914, t2= 23.8629
2023-09-10T00:00:19.4586965Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0001, c1= 0.05240, s=  0.2645, sv=1493.916, t2= 23.8633
2023-09-10T00:00:20.4792707Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0006, c1= 0.05240, s=  0.2645, sv=1493.918, t2= 23.8640
2023-09-10T00:00:21.5092231Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0005, c1= 0.05240, s=  0.2645, sv=1493.919, t2= 23.8645
2023-09-10T00:00:22.5389018Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0004, c1= 0.05240, s=  0.2645, sv=1493.918, t2= 23.8641
2023-09-10T00:00:23.5694386Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0005, c1= 0.05239, s=  0.2644, sv=1493.921, t2= 23.8653
2023-09-10T00:00:24.5894726Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0013, c1= 0.05239, s=  0.2644, sv=1493.921, t2= 23.8652
2023-09-10T00:00:25.6190123Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0013, c1= 0.05240, s=  0.2645, sv=1493.921, t2= 23.8653
2023-09-10T00:00:26.6495424Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0014, c1= 0.05240, s=  0.2645, sv=1493.923, t2= 23.8661
2023-09-10T00:00:27.6800710Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0016, c1= 0.05240, s=  0.2645, sv=1493.924, t2= 23.8664
2023-09-10T00:00:28.6998254Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0023, c1= 0.05241, s=  0.2645, sv=1493.924, t2= 23.8665
2023-09-10T00:00:29.7294510Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0019, c1= 0.05240, s=  0.2645, sv=1493.925, t2= 23.8667
2023-09-10T00:00:30.7500142Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0019, c1= 0.05240, s=  0.2645, sv=1493.927, t2= 23.8675
2023-09-10T00:00:31.7795731Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0021, c1= 0.05240, s=  0.2645, sv=1493.927, t2= 23.8676
2023-09-10T00:00:32.8100872Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0029, c1= 0.05240, s=  0.2645, sv=1493.929, t2= 23.8682
2023-09-10T00:00:33.8396354Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0024, c1= 0.05240, s=  0.2645, sv=1493.930, t2= 23.8684
2023-09-10T00:00:34.8602992Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0027, c1= 0.05241, s=  0.2645, sv=1493.930, t2= 23.8685
2023-09-10T00:00:35.8899283Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0031, c1= 0.05239, s=  0.2644, sv=1493.931, t2= 23.8690
2023-09-10T00:00:36.9203610Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0028, c1= 0.05240, s=  0.2645, sv=1493.932, t2= 23.8692
2023-09-10T00:00:37.9499046Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0025, c1= 0.05240, s=  0.2644, sv=1493.933, t2= 23.8698
2023-09-10T00:00:38.9704597Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0033, c1= 0.05240, s=  0.2645, sv=1493.934, t2= 23.8701
2023-09-10T00:00:40.0000076Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0035, c1= 0.05240, s=  0.2645, sv=1493.936, t2= 23.8707
2023-09-10T00:00:41.0305227Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0038, c1= 0.05240, s=  0.2644, sv=1493.936, t2= 23.8708
2023-09-10T00:00:42.0608248Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0035, c1= 0.05240, s=  0.2645, sv=1493.937, t2= 23.8711
2023-09-10T00:00:43.0804940Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0036, c1= 0.05240, s=  0.2645, sv=1493.937, t2= 23.8711
2023-09-10T00:00:44.1103414Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0041, c1= 0.05240, s=  0.2645, sv=1493.939, t2= 23.8718
2023-09-10T00:00:45.1403624Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0037, c1= 0.05240, s=  0.2645, sv=1493.941, t2= 23.8724
2023-09-10T00:00:46.1611608Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0042, c1= 0.05239, s=  0.2644, sv=1493.940, t2= 23.8722
2023-09-10T00:00:47.1909122Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0049, c1= 0.05240, s=  0.2644, sv=1493.942, t2= 23.8730
2023-09-10T00:00:48.2205638Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0046, c1= 0.05240, s=  0.2645, sv=1493.943, t2= 23.8733
2023-09-10T00:00:49.2506014Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0049, c1= 0.05240, s=  0.2645, sv=1493.943, t2= 23.8733
2023-09-10T00:00:50.2711847Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0047, c1= 0.05241, s=  0.2645, sv=1493.944, t2= 23.8737
